iter	Passed	Remaining
0	0	626
1	1	579
2	1	568
3	2	608
4	3	624
5	3	609
6	4	591
7	4	576
8	5	565
9	5	547
10	6	541
11	6	540
12	7	552
13	7	550
14	8	551
15	8	551
16	9	561
17	10	571
18	11	568
19	11	564
20	11	559
21	12	556
22	13	554
23	13	551
24	14	552
25	14	548
26	15	546
27	15	542
28	16	540
29	16	540
30	17	549
31	18	549
32	18	548
33	19	545
34	19	544
35	20	543
36	20	543
37	21	543
38	21	541
39	22	539
40	23	538
41	23	535
42	23	533
43	24	535
44	25	536
45	25	535
46	26	534
47	26	532
48	27	530
49	27	528
50	28	527
51	28	525
52	29	523
53	29	522
54	30	521
55	30	519
56	31	517
57	31	519
58	32	519
59	33	518
60	33	517
61	34	518
62	34	517
63	35	516
64	35	514
65	36	513
66	36	512
67	37	511
68	37	509
69	38	508
70	38	508
71	39	510
72	40	510
73	40	509
74	41	508
75	41	507
76	42	506
77	42	505
78	43	505
79	43	504
80	44	503
81	44	502
82	45	501
83	45	499
84	46	499
85	47	503
86	47	502
87	48	503
88	49	503
89	49	502
90	50	501
91	50	500
92	51	499
93	51	498
94	52	497
95	52	496
96	53	494
97	53	494
98	54	494
99	55	495
100	55	494
101	56	494
102	56	494
103	57	494
104	58	494
105	58	493
106	59	492
107	59	491
108	59	490
109	60	489
110	60	488
111	61	488
112	62	490
113	63	489
114	63	488
115	63	487
116	64	486
117	64	485
118	65	484
119	65	483
120	66	480
121	66	479
122	67	478
123	67	476
124	67	475
125	68	474
126	68	474
127	69	474
128	70	473
129	70	471
130	70	470
131	71	469
132	71	468
133	72	467
134	72	466
135	73	465
136	73	464
137	74	463
138	74	462
139	75	460
140	75	459
141	76	460
142	78	467
143	78	467
144	79	467
145	79	466
146	80	465
147	80	464
148	81	464
149	81	463
150	82	462
151	82	461
152	83	460
153	83	459
154	84	459
155	85	460
156	85	459
157	86	458
158	86	457
159	86	456
160	87	455
161	87	454
162	88	453
163	88	452
164	89	451
165	90	452
166	90	451
167	91	450
168	91	450
169	92	450
170	92	449
171	93	448
172	93	448
173	94	447
174	94	446
175	95	445
176	95	444
177	96	443
178	96	442
179	97	441
180	97	441
181	97	440
182	98	439
183	99	439
184	99	439
185	100	438
186	100	437
187	101	436
188	101	435
189	102	435
190	102	434
191	102	433
192	103	432
193	104	432
194	104	431
195	105	430
196	105	430
197	106	429
198	106	429
199	107	428
200	107	427
201	108	426
202	108	425
203	108	424
204	109	423
205	109	422
206	110	421
207	110	420
208	110	420
209	111	419
210	111	418
211	112	417
212	112	416
213	113	415
214	113	415
215	114	414
216	114	414
217	115	413
218	115	412
219	116	411
220	116	410
221	117	410
222	117	409
223	117	408
224	118	407
225	118	406
226	119	406
227	119	405
228	120	404
229	120	403
230	121	403
231	121	402
232	122	401
233	122	400
234	122	400
235	123	399
236	123	398
237	124	397
238	124	396
239	125	395
240	125	395
241	125	394
242	126	393
243	126	392
244	127	391
245	127	391
246	128	390
247	128	389
248	128	388
249	129	388
250	129	387
251	130	386
252	130	386
253	131	385
254	131	385
255	132	384
256	132	383
257	133	383
258	133	382
259	134	381
260	134	381
261	135	380
262	135	379
263	136	379
264	136	378
265	136	377
266	137	377
267	137	376
268	138	375
269	138	374
270	139	374
271	139	373
272	139	372
273	140	371
274	140	371
275	141	370
276	141	369
277	142	368
278	142	368
279	142	367
280	143	367
281	144	366
282	144	366
283	144	365
284	145	365
285	146	364
286	146	364
287	147	364
288	147	363
289	148	362
290	148	362
291	149	361
292	149	360
293	149	360
294	150	359
295	150	359
296	151	358
297	151	357
298	152	357
299	152	356
300	153	355
301	153	355
302	154	354
303	154	353
304	155	353
305	155	352
306	155	352
307	156	351
308	156	350
309	157	350
310	157	349
311	158	349
312	158	348
313	159	347
314	159	347
315	160	346
316	160	346
317	161	345
318	161	344
319	161	344
320	162	343
321	162	342
322	163	342
323	163	341
324	164	340
325	164	339
326	164	339
327	165	338
328	165	338
329	166	337
330	166	336
331	167	336
332	167	335
333	167	334
334	168	334
335	168	333
336	169	333
337	169	332
338	170	331
339	170	331
340	171	330
341	171	329
342	171	329
343	172	328
344	172	328
345	173	327
346	173	327
347	174	326
348	174	326
349	175	325
350	175	324
351	176	324
352	176	323
353	177	323
354	177	322
355	177	321
356	178	321
357	178	320
358	179	320
359	179	319
360	180	318
361	180	318
362	181	317
363	181	317
364	182	316
365	182	316
366	182	315
367	183	314
368	183	314
369	184	313
370	184	313
371	185	312
372	185	311
373	185	311
374	186	310
375	186	310
376	187	309
377	188	309
378	188	309
379	189	308
380	189	307
381	189	307
382	190	306
383	190	306
384	191	305
385	191	304
386	192	304
387	192	303
388	192	303
389	193	302
390	193	301
391	194	301
392	194	300
393	195	300
394	195	299
395	196	299
396	196	298
397	197	298
398	197	297
399	198	297
400	198	296
401	199	296
402	199	295
403	199	294
404	200	294
405	200	293
406	201	293
407	201	292
408	202	292
409	202	291
410	203	291
411	203	290
412	204	290
413	204	289
414	205	289
415	205	288
416	206	288
417	206	287
418	207	287
419	207	286
420	208	286
421	208	285
422	208	285
423	209	284
424	210	284
425	210	283
426	211	283
427	211	282
428	211	282
429	212	281
430	212	281
431	213	280
432	213	279
433	214	279
434	214	278
435	215	278
436	215	277
437	215	277
438	216	276
439	216	275
440	217	275
441	217	275
442	218	274
443	218	274
444	219	273
445	219	272
446	220	272
447	220	271
448	221	271
449	221	270
450	221	270
451	222	269
452	222	268
453	223	268
454	223	267
455	224	267
456	224	266
457	225	266
458	225	265
459	226	265
460	226	264
461	226	264
462	227	263
463	227	263
464	228	262
465	228	262
466	229	261
467	229	261
468	230	260
469	231	260
470	231	260
471	232	259
472	232	259
473	233	258
474	233	258
475	234	257
476	234	257
477	235	256
478	235	256
479	236	255
480	236	255
481	237	254
482	237	254
483	237	253
484	238	253
485	238	252
486	239	252
487	239	251
488	240	251
489	240	250
490	241	250
491	241	249
492	242	249
493	242	248
494	243	248
495	243	247
496	244	247
497	244	246
498	245	246
499	245	245
500	246	245
501	246	244
502	246	243
503	247	243
504	248	243
505	248	242
506	248	242
507	249	241
508	249	241
509	250	240
510	250	240
511	251	239
512	251	239
513	252	238
514	252	238
515	253	237
516	253	236
517	254	236
518	254	236
519	255	235
520	256	235
521	256	235
522	257	234
523	257	234
524	258	233
525	258	233
526	259	232
527	259	232
528	260	231
529	260	231
530	261	230
531	261	229
532	261	229
533	262	229
534	263	228
535	263	228
536	263	227
537	264	227
538	264	226
539	265	225
540	265	225
541	266	224
542	266	224
543	266	223
544	267	223
545	267	222
546	268	222
547	268	221
548	269	221
549	269	220
550	270	220
551	270	219
552	271	219
553	271	218
554	272	218
555	272	217
556	273	217
557	273	216
558	273	216
559	274	215
560	274	215
561	275	214
562	275	213
563	276	213
564	276	213
565	277	212
566	277	212
567	278	211
568	278	210
569	278	210
570	279	209
571	279	209
572	280	208
573	280	208
574	281	207
575	281	207
576	282	206
577	282	206
578	282	205
579	283	205
580	283	204
581	284	204
582	284	203
583	285	203
584	286	202
585	286	202
586	287	202
587	287	201
588	288	201
589	288	200
590	288	199
591	289	199
592	289	198
593	290	198
594	290	197
595	291	197
596	291	196
597	292	196
598	292	196
599	293	195
600	293	194
601	294	194
602	294	193
603	294	193
604	295	192
605	295	192
606	296	191
607	296	191
608	297	190
609	297	190
610	297	189
611	298	189
612	298	188
613	300	188
614	300	188
615	301	187
616	301	187
617	302	186
618	302	186
619	302	185
620	303	185
621	303	184
622	304	184
623	304	183
624	305	183
625	305	182
626	306	182
627	306	181
628	307	181
629	307	180
630	308	180
631	308	179
632	309	179
633	309	178
634	310	178
635	310	177
636	310	177
637	311	176
638	311	176
639	312	175
640	312	175
641	313	174
642	313	174
643	314	173
644	315	173
645	315	172
646	315	172
647	316	171
648	316	171
649	317	170
650	317	170
651	318	169
652	318	169
653	318	168
654	319	168
655	319	167
656	320	167
657	320	166
658	321	166
659	321	165
660	322	165
661	322	164
662	323	164
663	323	163
664	324	163
665	324	162
666	325	162
667	325	161
668	326	161
669	326	160
670	326	160
671	327	159
672	327	159
673	328	158
674	328	158
675	329	157
676	329	157
677	330	156
678	330	156
679	331	155
680	331	155
681	332	154
682	332	154
683	333	154
684	333	153
685	334	152
686	334	152
687	335	151
688	335	151
689	336	150
690	336	150
691	337	150
692	337	149
693	338	149
694	338	148
695	339	148
696	339	147
697	339	147
698	340	146
699	340	146
700	341	145
701	341	145
702	342	144
703	342	144
704	343	143
705	344	143
706	344	142
707	345	142
708	345	141
709	346	141
710	346	140
711	347	140
712	347	139
713	347	139
714	348	138
715	348	138
716	349	137
717	349	137
718	350	136
719	350	136
720	351	135
721	351	135
722	352	134
723	352	134
724	352	133
725	353	133
726	353	132
727	354	132
728	354	131
729	355	131
730	355	130
731	356	130
732	356	129
733	357	129
734	357	128
735	358	128
736	358	128
737	359	127
738	360	127
739	360	126
740	360	126
741	361	125
742	361	125
743	362	124
744	362	124
745	363	123
746	363	123
747	363	122
748	364	122
749	364	121
750	365	121
751	365	120
752	366	120
753	366	119
754	367	119
755	367	118
756	368	118
757	368	117
758	368	117
759	369	116
760	369	116
761	370	115
762	370	115
763	371	114
764	371	114
765	372	113
766	372	113
767	372	112
768	373	112
769	374	111
770	374	111
771	375	110
772	375	110
773	375	109
774	376	109
775	376	108
776	377	108
777	377	107
778	377	107
779	378	106
780	378	106
781	379	105
782	379	105
783	380	104
784	380	104
785	381	103
786	381	103
787	382	102
788	382	102
789	383	101
790	383	101
791	384	100
792	384	100
793	385	99
794	385	99
795	386	98
796	386	98
797	386	97
798	387	97
799	387	96
800	388	96
801	389	96
802	389	95
803	390	95
804	390	94
805	390	94
806	391	93
807	391	93
808	392	92
809	392	92
810	393	91
811	393	91
812	393	90
813	394	90
814	394	89
815	395	89
816	395	88
817	396	88
818	396	87
819	397	87
820	397	86
821	398	86
822	398	85
823	399	85
824	399	84
825	399	84
826	400	83
827	400	83
828	401	82
829	401	82
830	402	81
831	402	81
832	403	80
833	403	80
834	404	79
835	404	79
836	404	78
837	405	78
838	405	77
839	406	77
840	406	76
841	407	76
842	407	75
843	407	75
844	408	74
845	408	74
846	409	73
847	409	73
848	410	72
849	410	72
850	411	71
851	411	71
852	412	71
853	412	70
854	413	70
855	413	69
856	414	69
857	414	68
858	414	68
859	415	67
860	415	67
861	416	66
862	416	66
863	417	65
864	417	65
865	418	64
866	418	64
867	419	63
868	419	63
869	420	62
870	420	62
871	421	61
872	421	61
873	422	60
874	422	60
875	423	59
876	423	59
877	424	58
878	424	58
879	424	57
880	425	57
881	426	57
882	426	56
883	427	56
884	427	55
885	428	55
886	428	54
887	428	54
888	429	53
889	429	53
890	430	52
891	430	52
892	431	51
893	431	51
894	431	50
895	432	50
896	432	49
897	433	49
898	433	48
899	434	48
900	434	47
901	435	47
902	435	46
903	435	46
904	436	45
905	436	45
906	437	44
907	437	44
908	438	43
909	438	43
910	439	42
911	439	42
912	439	41
913	440	41
914	440	40
915	441	40
916	442	40
917	442	39
918	443	39
919	443	38
920	444	38
921	444	37
922	445	37
923	445	36
924	445	36
925	446	35
926	446	35
927	447	34
928	447	34
929	448	33
930	448	33
931	449	32
932	449	32
933	450	31
934	450	31
935	451	30
936	451	30
937	451	29
938	452	29
939	452	28
940	453	28
941	453	27
942	454	27
943	454	26
944	454	26
945	455	26
946	456	25
947	456	25
948	457	24
949	457	24
950	458	23
951	458	23
952	458	22
953	459	22
954	459	21
955	460	21
956	460	20
957	461	20
958	461	19
959	461	19
960	462	18
961	463	18
962	463	17
963	464	17
964	464	16
965	464	16
966	465	15
967	465	15
968	466	14
969	466	14
970	467	13
971	467	13
972	468	12
973	468	12
974	468	12
975	469	11
976	470	11
977	470	10
978	471	10
979	471	9
980	472	9
981	472	8
982	473	8
983	473	7
984	474	7
985	474	6
986	475	6
987	475	5
988	476	5
989	476	4
990	476	4
991	477	3
992	477	3
993	478	2
994	478	2
995	479	1
996	479	1
997	480	0
998	480	0
999	481	0
